text,emotion
I love this!,happy
This is amazing and wonderful,happy
I feel great today,happy
Such a beautiful day,happy
I am so happy and excited,happy
Today is fantastic,happy
This makes me smile,happy
I am feeling joyful,happy
Best day ever,happy
Everything is going great,happy
I am so sad,sad
This makes me cry,sad
I feel lonely and unhappy,sad
My heart is broken,sad
I feel terrible,sad
Nothing is going right,sad
I am feeling down,sad
This is depressing,sad
I am furious about this,angry
This pisses me off,angry
I am angry and frustrated,angry
This is infuriating,angry
I hate this so much,angry
This makes me mad,angry
I cannot stand this,angry
This is really annoying,angry
I am scared,fear
This is terrifying,fear
I feel anxious and afraid,fear
I am worried about this,fear
This is frightening,fear
I am really nervous,fear
This scares me,fear
I am frightened,fear
No way that's shocking,surprise
I did not expect this,surprise
Wow unbelievable,surprise
That surprised me,surprise
I cannot believe it,surprise
That came out of nowhere,surprise
I am shocked,surprise
This is unexpected,surprise
I adore you,love
Sending you lots of love,love
I care about you,love
You mean a lot to me,love
I love you so much,love
You are wonderful,love
I appreciate you,love
You are amazing,love
Okay,neutral
I see,neutral
That is fine,neutral
Sure,neutral
That makes sense,neutral
Understood,neutral
Noted,neutral
Got it,neutral
